[2024-05-28 12:00:43,293] INFO [Broker id=0] Leader okx_api_perpetual_funding_btcfundperp-2 with topic id Some(RhRc5O0kR3qmxJvY45K3kQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,315] INFO [Broker id=0] Leader bybit_api_perpetual_linear_funding_btcfundperp-1 with topic id Some(b-d5fGwqRdO-EJ_YcTrD_Q) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,315] INFO [Broker id=0] Leader gateio_api_perpetual_funding_btcfundperp-0 with topic id Some(sksdBHWFReCPDUY_u1Y-7g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,336] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,358] INFO [Broker id=0] Leader gateio_api_perpetual_oi_btcoifutureperp-3 with topic id Some(VvFKVxgBQ9moDf-R5NlePA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,381] INFO [Broker id=0] Leader bingx_api_perpetual_oi_btcusdt-3 with topic id Some(RkIt2NffQsWDPVWXJtK-cQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,402] INFO [Broker id=0] Leader htx_api_perpetual_gta_btcposfutureperp-4 with topic id Some(QqxxyN-lSAyAA3tHerdHqw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,424] INFO [Broker id=0] Leader bybit_api_perpetual_linear_funding_btcfundperp-2 with topic id Some(b-d5fGwqRdO-EJ_YcTrD_Q) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,424] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,446] INFO [Broker id=0] Leader gateio_api_perpetual_oi_btcoifutureperp-4 with topic id Some(VvFKVxgBQ9moDf-R5NlePA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,469] INFO [Broker id=0] Leader bingx_api_perpetual_oi_btcusdt-2 with topic id Some(RkIt2NffQsWDPVWXJtK-cQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
